image_id,class,score,xmin,ymin,xmax,ymax,width,height
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.63,777,532,1022,888,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.61,640,587,778,806,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,motorbike,0.56,278,726,362,890,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.49,462,709,487,767,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.42,278,735,361,890,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.42,589,678,641,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.41,533,671,578,738,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,car,0.36,522,687,537,722,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,minivan,0.31,589,680,642,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,van,0.28,533,671,578,738,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,truck,0.28,777,541,1022,889,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,car,0.27,589,679,641,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.26,500,696,515,739,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,motorbike,0.25,500,698,515,739,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,suv,0.23,589,681,642,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.22,642,635,776,811,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,van,0.21,589,680,641,755,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,truck,0.19,640,601,777,808,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,truck,0.18,642,660,774,809,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bus,0.17,563,662,600,712,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bus,0.16,559,656,599,696,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.14,462,704,487,767,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,human hauler,0.14,533,671,577,738,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,motorbike,0.13,462,711,487,765,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.75,790,672,927,817,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.69,790,647,857,677,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,motorbike,0.65,330,747,394,873,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.58,592,695,666,786,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.55,638,673,851,909,1024,1024
